Time,Level,Ticker,Notional,Size,Price,Closing1d,Volume,1DChg,UndTkr,1PtVal,Exch,UndCmpName,UndPrc,Date,FutName,Structure_ID,Structure
17:10:18,1.335004634994208,FMIZ4H5,108315237.0,1268,8630.0,"=BDH(J83&"" Index"", ""PX_CLOSE_1D"",O83,O83)",5719,-1.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24Mar25,20241218-R-28,Roll
17:10:30,,FMIH5,107584249.0,1251,8745.2109,,21762,-17.79,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Mar25,20241218-R-28-L1,Leg
17:10:18,,FMIZ4,109046225.0,1268,8630.0,,5719,-1.0,M1JP,10,GR,MSCI Japan Net Total Return US,8599.86,2024-12-18,MSCI Japan Index  Dec24,20241218-R-28-L2,Leg
16:40:59,1.3400156808084374,ZTOZ4H5,43540628.5,765,5739.5,"=BDH(J86&"" Index"", ""PX_CLOSE_1D"",O86,O86)",834,-7.5,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24Mar25,20241218-R-29,Roll
16:41:00,,ZTOH5,43254177.0,755,5816.4102,,829,-1.59,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Mar25,20241218-R-29-L1,Leg
16:40:59,,ZTOZ4,43827080.0,765,5739.5,,834,-7.5,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24,20241218-R-29-L2,Leg
16:23:06,1.0396637931034514,HKDZ4H5,21196441.5,1837,1160.0,"=BDH(J89&"" Index"", ""PX_CLOSE_1D"",O89,O89)",8481,-29.75,M1TH,10,HK,MSCI Thailand Net Total Return,1159.86,2024-12-18,MSCI TH NTR USD   Dec24Mar25,20241218-R-30,Roll
16:23:06,,HKDH5,21086255.0,1818,1172.0601,,8389,-29.44,M1TH,10,HK,MSCI Thailand Net Total Return,1159.86,2024-12-18,MSCI TH NTR USD   Mar25,20241218-R-30-L1,Leg
16:23:06,,HKDZ4,21306628.0,1837,1160.0,,8481,-29.75,M1TH,10,HK,MSCI Thailand Net Total Return,1159.86,2024-12-18,MSCI TH NTR USD   Dec24,20241218-R-30-L2,Leg
16:20:00,1.3299834509189035,ZTOZ4H5,14809542.5,260,5740.5,"=BDH(J92&"" Index"", ""PX_CLOSE_1D"",O92,O92)",834,-6.5,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24Mar25,20241218-R-31,Roll
16:20:01,,ZTOH5,14723607.0,257,5816.8477,,829,-1.15,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Mar25,20241218-R-31-L1,Leg
16:20:00,,ZTOZ4,14895478.0,260,5740.5,,834,-6.5,MBAU,10,GR,MSCI AUSTRALIA NETR USD,5729.03,2024-12-18,MSCI Australia    Dec24,20241218-R-31-L2,Leg
16:12:28,1.158007889546342,MURZ4H5,55151006.0,2194,507.0,"=BDH(J95&"" Index"", ""PX_CLOSE_1D"",O95,O95)",7762,-0.3,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Dec24Mar25,20241218-R-32,Roll
16:13:19,,MURH5,55151006.0,2194,512.8711,,7826,-0.13,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Mar25,20241218-R-32-L1,Leg
16:12:28,,MURZ4,55151006.0,2194,507.0,,7762,-0.3,NDEUCHF,50,GR,MSCI China Net Total Return US,502.74,2024-12-18,MSCI China Future Dec24,20241218-R-32-L2,Leg
16:05:59,1.3300722543352572,ZTWZ4H5,50010859.0,723,692.0,"=BDH(J98&"" Index"", ""PX_CLOSE_1D"",O98,O98)",23797,-3.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.54,2024-12-18,MSCI Emer Mkts As Dec24Mar25,20241218-R-33,Roll
16:05:59,,ZTWZ4,50359842.0,723,692.0,,23797,-3.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.54,2024-12-18,MSCI Emer Mkts As Dec24,20241218-R-33-L1,Leg
16:05:32,,ZTWH5,49661876.0,713,701.2041,,63955,-5.1,M1MS,100,GR,MSCI EM Asia Net Total Return,696.52,2024-12-18,MSCI Emer Mkts As Mar25,20241218-R-33-L2,Leg
15:35:29,1.3300431034482862,ZTWZ4H5,99458207.5,1437,696.0,"=BDH(J101&"" Index"", ""PX_CLOSE_1D"",O101,O101)",23074,1.0,M1MS,100,GR,MSCI EM Asia Net Total Return,696.73,2024-12-18,MSCI Emer Mkts As Dec24Mar25,20241218-R-34,Roll
15:35:51,,ZTWH5,98796314.0,1418,705.2571,,63955,-1.04,M1MS,100,GR,MSCI EM Asia Net Total Return,696.73,2024-12-18,MSCI Emer Mkts As Mar25,20241218-R-34-L1,Leg
